Occupation code,Occupation title,Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
25-1020,"Math and Computer Teachers, Postsecondary",broad,"83,100",1.4%,0.583,(4),(4),"$87,380",1.0%
25-1021,"Computer Science Teachers, Postsecondary",detail,"32,230",2.0%,0.226,(4),(4),"$91,590",1.1%
25-1022,"Mathematical Science Teachers, Postsecondary",detail,"50,870",1.4%,0.357,(4),(4),"$84,710",1.0%
25-1030,"Engineering and Architecture Teachers, Postsecondary",broad,"44,780",2.0%,0.314,(4),(4),"$106,770",1.2%
25-1031,"Architecture Teachers, Postsecondary",detail,"7,280",5.3%,0.051,(4),(4),"$91,000",3.1%
25-1032,"Engineering Teachers, Postsecondary",detail,"37,500",2.0%,0.263,(4),(4),"$109,830",1.2%
25-1040,"Life Sciences Teachers, Postsecondary",broad,"62,710",1.5%,0.440,(4),(4),"$92,790",1.0%
25-1041,"Agricultural Sciences Teachers, Postsecondary",detail,"10,800",3.6%,0.076,(4),(4),"$91,690",2.2%
25-1042,"Biological Science Teachers, Postsecondary",detail,"49,910",1.6%,0.350,(4),(4),"$93,010",1.0%
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detail,"2,000",5.7%,0.014,(4),(4),"$93,200",1.8%
25-1050,"Physical Sciences Teachers, Postsecondary",broad,"51,530",1.4%,0.361,(4),(4),"$94,740",1.0%
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detail,"10,730",3.5%,0.075,(4),(4),"$98,560",1.2%
25-1052,"Chemistry Teachers, Postsecondary",detail,"21,090",1.6%,0.148,(4),(4),"$90,610",1.0%
25-1053,"Environmental Science Teachers, Postsecondary",detail,"5,990",3.2%,0.042,(4),(4),"$87,660",1.4%
25-1054,"Physics Teachers, Postsecondary",detail,"13,710",1.6%,0.096,(4),(4),"$101,190",1.3%
25-1060,"Social Sciences Teachers, Postsecondary",broad,"115,860",1.2%,0.813,(4),(4),"$89,600",1.1%
25-1061,"Anthropology and Archeology Teachers, Postsecondary",detail,"5,770",2.3%,0.040,(4),(4),"$93,500",1.5%
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detail,"9,850",2.1%,0.069,(4),(4),"$83,330",1.8%
25-1063,"Economics Teachers, Postsecondary",detail,"12,770",1.8%,0.090,(4),(4),"$114,820",1.5%
25-1064,"Geography Teachers, Postsecondary",detail,"3,980",2.6%,0.028,(4),(4),"$87,810",1.3%
25-1065,"Political Science Teachers, Postsecondary",detail,"16,200",1.7%,0.114,(4),(4),"$98,620",1.9%
25-1066,"Psychology Teachers, Postsecondary",detail,"37,090",1.9%,0.260,(4),(4),"$85,050",1.1%
25-1067,"Sociology Teachers, Postsecondary",detail,"13,630",1.5%,0.096,(4),(4),"$83,840",1.1%
25-1069,"Social Sciences Teachers, Postsecondary, All Other",detail,"16,580",2.5%,0.116,(4),(4),"$79,050",3.9%
25-1070,"Health Teachers, Postsecondary",broad,"250,190",2.0%,1.755,(4),(4),"$112,770",1.9%
25-1071,"Health Specialties Teachers, Postsecondary",detail,"194,610",2.6%,1.365,(4),(4),"$122,890",2.1%
25-1072,"Nursing Instructors and Teachers, Postsecondary",detail,"55,580",1.9%,0.390,(4),(4),"$77,360",0.9%
25-1080,"Education and Library Science Teachers, Postsecondary",broad,"65,500",1.9%,0.460,(4),(4),"$72,510",1.0%
25-1081,"Education Teachers, Postsecondary",detail,"60,500",1.9%,0.424,(4),(4),"$72,410",1.1%
25-1082,"Library Science Teachers, Postsecondary",detail,"5,010",4.3%,0.035,(4),(4),"$73,680",1.1%
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",broad,"43,540",2.8%,0.305,(4),(4),"$94,200",1.7%
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detail,"14,210",3.4%,0.100,(4),(4),"$68,980",1.4%
25-1112,"Law Teachers, Postsecondary",detail,"16,900",4.4%,0.119,(4),(4),"$129,840",2.2%
25-1113,"Social Work Teachers, Postsecondary",detail,"12,430",3.7%,0.087,(4),(4),"$74,560",1.9%
25-1120,"Arts, Communications, and Humanities Teachers, Postsecondary",broad,"264,290",1.3%,1.854,(4),(4),"$78,160",0.9%
25-1121,"Art, Drama, and Music Teachers, Postsecondary",detail,"95,110",2.1%,0.667,(4),(4),"$78,720",1.2%
25-1122,"Communications Teachers, Postsecondary",detail,"28,770",1.8%,0.202,(4),(4),"$75,640",1.2%
25-1123,"English Language and Literature Teachers, Postsecondary",detail,"69,140",1.5%,0.485,(4),(4),"$77,660",1.1%
25-1124,"Foreign Language and Literature Teachers, Postsecondary",detail,"27,240",2.5%,0.191,(4),(4),"$75,950",1.1%
25-1125,"History Teachers, Postsecondary",detail,"21,120",2.2%,0.148,(4),(4),"$82,900",1.1%
25-1126,"Philosophy and Religion Teachers, Postsecondary",detail,"22,920",3.3%,0.161,(4),(4),"$78,790",1.0%
25-1190,Miscellaneous Postsecondary Teachers,broad,"459,310",1.7%,3.222,(4),(4),"$59,000",2.0%
25-1191,Graduate Teaching Assistants,detail,"136,820",2.5%,0.960,(4),(4),"$37,720",5.4%
25-1192,"Home Economics Teachers, Postsecondary",detail,"2,580",4.1%,0.018,(4),(4),"$77,220",2.2%
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detail,"16,630",2.2%,0.117,(4),(4),"$69,560",1.6%
25-1194,"Vocational Education Teachers, Postsecondary",detail,"114,020",1.7%,0.800,$24.81,$27.23,"$56,630",0.9%
25-1199,"Postsecondary Teachers, All Other",detail,"189,270",3.8%,1.328,(4),(4),"$74,630",1.7%
25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",minor,"4,174,870",0.4%,29.287,(4),(4),"$58,780",0.6%
25-2010,Preschool and Kindergarten Teachers,broad,"550,390",1.0%,3.861,$16.13,$19.04,"$39,600",1.0%
25-2011,"Preschool Teachers, Except Special Education",detail,"409,740",1.2%,2.874,$13.94,$16.15,"$33,590",1.5%
25-2012,"Kindergarten Teachers, Except Special Education",detail,"140,660",1.4%,0.987,(4),(4),"$57,110",0.6%
25-2020,Elementary and Middle School Teachers,broad,"2,043,520",0.6%,14.336,(4),(4),"$60,900",0.6%
25-2021,"Elementary School Teachers, Except Special Education",detail,"1,409,140",0.8%,9.885,(4),(4),"$60,830",0.6%
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detail,"622,340",1.4%,4.366,(4),(4),"$61,040",0.6%
25-2023,"Career/Technical Education Teachers, Middle School",detail,"12,040",7.3%,0.084,(4),(4),"$61,680",1.4%
25-2030,Secondary School Teachers,broad,"1,106,060",1.0%,7.759,(4),(4),"$62,730",0.5%
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detail,"1,027,230",1.0%,7.206,(4),(4),"$62,860",0.5%
25-2032,"Career/Technical Education Teachers, Secondary School",detail,"78,840",3.5%,0.553,(4),(4),"$61,010",0.8%
25-2050,Special Education Teachers,broad,"474,890",0.9%,3.331,(4),(4),"$62,640",0.8%
25-2051,"Special Education Teachers, Preschool",detail,"28,540",3.9%,0.200,(4),(4),"$58,390",2.3%
25-2052,"Special Education Teachers, Kindergarten and Elementary School",detail,"184,920",1.3%,1.297,(4),(4),"$61,960",0.8%
25-2053,"Special Education Teachers, Middle School",detail,"87,550",2.0%,0.614,(4),(4),"$63,250",1.2%
25-2054,"Special Education Teachers, Secondary School",detail,"135,910",1.6%,0.953,(4),(4),"$64,590",1.0%
25-2059,"Special Education Teachers, All Other",detail,"37,980",3.4%,0.266,(4),(4),"$60,750",2.2%
25-3000,Other Teachers and Instructors,minor,"1,204,930",0.9%,8.453,$15.60,$18.89,"$39,290",0.7%
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detail,"60,670",5.9%,0.426,$25.05,$27.31,"$56,800",1.5%
25-3021,Self-Enrichment Education Teachers,detail,"238,710",1.5%,1.675,$18.48,$21.46,"$44,630",0.8%
25-3090,Miscellaneous Teachers and Instructors,broad,"905,550",1.0%,6.353,$14.57,$17.65,"$36,700",0.8%
25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",detail,"294,240",1.4%,2.064,(4),(4),"$47,490",1.1%
25-3098,Substitute Teachers,detail,"611,310",1.4%,4.288,$13.59,$15.15,"$31,510",1.2%
25-4000,"Librarians, Curators, and Archivists",minor,"246,760",1.0%,1.731,$22.78,$24.30,"$50,540",0.5%
25-4010,"Archivists, Curators, and Museum Technicians",broad,"29,920",2.3%,0.210,$22.77,$25.22,"$52,450",1.0%
25-4011,Archivists,detail,"6,080",6.0%,0.043,$24.88,$26.67,"$55,470",1.5%
25-4012,Curators,detail,"11,550",2.9%,0.081,$25.85,$28.28,"$58,830",1.0%
25-4013,Museum Technicians and Conservators,detail,"12,290",3.0%,0.086,$19.55,$21.62,"$44,970",1.5%
25-4021,Librarians,detail,"126,800",0.9%,0.890,$28.14,$29.21,"$60,760",0.4%
25-4031,Library Technicians,detail,"90,030",1.5%,0.632,$16.20,$17.07,"$35,510",0.6%
25-9000,"Other Education, Training, and Library Occupations",minor,"1,576,000",0.5%,11.056,(4),(4),"$33,320",0.4%
25-9011,Audio-Visual and Multimedia Collections Specialists,detail,"10,430",2.6%,0.073,$23.36,$24.66,"$51,290",1.0%
25-9021,Farm and Home Management Advisors,detail,"8,450",5.6%,0.059,$23.80,$25.11,"$52,220",1.6%
25-9031,Instructional Coordinators,detail,"157,490",1.6%,1.105,$30.65,$32.06,"$66,680",0.5%
25-9041,Teacher Assistants,detail,"1,299,800",0.6%,9.118,(4),(4),"$27,950",0.4%
25-9099,"Education, Training, and Library Workers, All Other",detail,"99,830",2.4%,0.700,$20.74,$22.69,"$47,200",1.4%
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"1,925,140",0.5%,13.505,$23.19,$28.34,"$58,950",0.4%
27-1000,Art and Design Workers,minor,"597,970",0.8%,4.195,$21.75,$25.92,"$53,910",0.5%
27-1010,Artists and Related Workers,broad,"90,940",2.0%,0.638,$35.62,$39.85,"$82,900",0.7%
27-1011,Art Directors,detail,"38,110",2.3%,0.267,$44.47,$49.76,"$103,510",0.7%
27-1012,Craft Artists,detail,"4,730",7.2%,0.033,$16.80,$19.80,"$41,180",2.5%
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detail,"11,230",5.1%,0.079,$23.81,$27.66,"$57,520",2.5%
27-1014,Multimedia Artists and Animators,detail,"29,860",3.8%,0.209,$33.91,$36.81,"$76,560",1.4%
27-1019,"Artists and Related Workers, All Other",detail,"7,010",7.7%,0.049,$30.55,$32.01,"$66,590",3.3%
27-1020,Designers,broad,"507,030",0.9%,3.557,$19.94,$23.42,"$48,720",0.5%
27-1021,Commercial and Industrial Designers,detail,"31,250",3.9%,0.219,$31.72,$33.91,"$70,540",1.2%
27-1022,Fashion Designers,detail,"18,940",3.9%,0.133,$32.41,$37.92,"$78,870",1.5%
27-1023,Floral Designers,detail,"43,470",2.9%,0.305,$12.67,$13.57,"$28,220",0.7%
27-1024,Graphic Designers,detail,"217,170",1.0%,1.523,$23.41,$25.62,"$53,280",0.4%
27-1025,Interior Designers,detail,"56,070",2.6%,0.393,$24.76,$27.99,"$58,210",1.4%
27-1026,Merchandise Displayers and Window Trimmers,detail,"120,870",2.5%,0.848,$13.31,$14.88,"$30,940",0.8%
27-1027,Set and Exhibit Designers,detail,"11,490",4.4%,0.081,$25.52,$28.65,"$59,590",1.5%
27-1029,"Designers, All Other",detail,"7,770",5.0%,0.055,$26.89,$31.92,"$66,400",2.7%
27-2000,"Entertainers and Performers, Sports and Related Workers",minor,"508,410",1.2%,3.567,$20.20,$28.78,"$59,860",1.0%
27-2010,"Actors, Producers, and Directors",broad,"161,000",2.1%,1.129,$30.17,$40.74,"$84,740",1.4%
27-2011,Actors,detail,"43,470",6.1%,0.305,$17.49,$32.89,(4),3.8%
27-2012,Producers and Directors,detail,"117,520",1.9%,0.824,$34.43,$43.64,"$90,770",1.3%
27-2020,"Athletes, Coaches, Umpires, and Related Workers",broad,"265,160",1.4%,1.860,(4),(4),"$43,940",1.0%
27-2021,Athletes and Sports Competitors,detail,"11,150",5.6%,0.078,(4),(4),"$88,300",4.5%
27-2022,Coaches and Scouts,detail,"235,400",1.5%,1.651,(4),(4),"$42,540",0.9%
27-2023,"Umpires, Referees, and Other Sports Officials",detail,"18,610",4.0%,0.131,(4),(4),"$35,080",5.0%
27-2030,Dancers and Choreographers,broad,"15,240",5.7%,0.107,$17.15,$20.41,"$42,450",2.7%
27-2031,Dancers,detail,"9,930",7.3%,0.070,$14.25,$17.70,(4),3.2%
27-2032,Choreographers,detail,"5,310",8.5%,0.037,$23.28,$25.47,"$52,970",3.4%
27-2040,"Musicians, Singers, and Related Workers",broad,"55,570",2.4%,0.390,$25.95,$34.11,(4),2.0%
27-2041,Music Directors and Composers,detail,"15,400",3.2%,0.108,$24.32,$29.56,"$61,490",2.8%
27-2042,Musicians and Singers,detail,"40,170",3.1%,0.282,$26.96,$35.86,(4),2.4%
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",detail,"11,440",17.7%,0.080,$17.09,$23.15,(4),3.0%
27-3000,Media and Communication Workers,minor,"581,520",0.7%,4.079,$27.09,$31.07,"$64,620",0.4%
27-3010,Announcers,broad,"36,500",2.4%,0.256,$15.15,$22.29,"$46,350",1.7%
27-3011,Radio and Television Announcers,detail,"28,580",2.6%,0.200,$15.60,$22.90,"$47,630",1.7%
27-3012,Public Address System and Other Announcers,detail,"7,920",6.2%,0.056,$13.67,$20.07,"$41,740",5.4%
27-3020,"News Analysts, Reporters and Correspondents",broad,"44,480",2.5%,0.312,$19.67,$27.04,"$56,250",1.5%
27-3021,Broadcast News Analysts,detail,"5,700",8.2%,0.040,$30.24,$42.43,"$88,250",3.1%
27-3022,Reporters and Correspondents,detail,"38,790",2.5%,0.272,$18.93,$24.79,"$51,550",1.6%
27-3031,Public Relations Specialists,detail,"233,730",1.0%,1.640,$28.51,$32.69,"$67,990",0.5%
27-3040,Writers and Editors,broad,"192,160",1.1%,1.348,$30.15,$34.02,"$70,760",0.6%
27-3041,Editors,detail,"96,890",1.6%,0.680,$28.25,$32.80,"$68,230",0.8%
27-3042,Technical Writers,detail,"49,960",1.9%,0.351,$34.10,$35.79,"$74,440",0.6%
27-3043,Writers and Authors,detail,"45,300",1.9%,0.318,$29.72,$34.67,"$72,120",1.2%
27-3090,Miscellaneous Media and Communication Workers,broad,"74,650",2.7%,0.524,$22.77,$25.09,"$52,190",1.2%
27-3091,Interpreters and Translators,detail,"53,150",3.2%,0.373,$22.69,$24.90,"$51,790",1.4%
27-3099,"Media and Communication Workers, All Other",detail,"21,510",5.1%,0.151,$23.03,$25.56,"$53,160",1.9%
27-4000,Media and Communication Equipment Workers,minor,"237,240",1.4%,1.664,$21.91,$26.82,"$55,780",1.4%
27-4010,Broadcast and Sound Engineering Technicians and Radio Operators,broad,"117,270",2.1%,0.823,$20.51,$23.88,"$49,660",0.9%
27-4011,Audio and Video Equipment Technicians,detail,"72,740",2.2%,0.510,$20.28,$22.85,"$47,530",0.8%
27-4012,Broadcast Technicians,detail,"30,390",5.0%,0.213,$18.78,$22.47,"$46,730",1.5%
27-4013,Radio Operators,detail,770,6.5%,0.005,$21.31,$21.39,"$44,490",2.7%
27-4014,Sound Engineering Technicians,detail,"13,370",4.3%,0.094,$26.83,$32.78,"$68,180",2.4%
27-4021,Photographers,detail,"49,320",2.0%,0.346,$15.62,$20.17,"$41,940",1.9%
27-4030,"Television, Video, and Motion Picture Camera Operators and Editors",broad,"51,630",2.9%,0.362,$27.99,$36.01,"$74,890",2.9%
27-4031,"Camera Operators, Television, Video, and Motion Picture",detail,"20,860",3.1%,0.146,$25.74,$29.58,"$61,530",2.0%
27-4032,Film and Video Editors,detail,"30,770",4.1%,0.216,$29.41,$40.36,"$83,950",3.7%
27-4099,"Media and Communication Equipment Workers, All Other",detail,"19,030",5.0%,0.133,$38.22,$37.27,"$77,520",1.2%
29-0000,Healthcare Practitioners and Technical Occupations,major,"8,506,740",0.3%,59.676,$31.14,$38.83,"$80,760",0.2%
29-1000,Health Diagnosing and Treating Practitioners,minor,"5,269,630",0.4%,36.967,$38.21,$48.45,"$100,780",0.3%
29-1011,Chiropractors,detail,"33,630",2.5%,0.236,$33.00,$40.07,"$83,350",1.9%
29-1020,Dentists,broad,"125,300",1.6%,0.879,$76.02,$86.54,"$180,010",1.1%
29-1021,"Dentists, General",detail,"110,400",1.9%,0.774,$72.81,$83.71,"$174,110",1.2%
29-1022,Oral and Maxillofacial Surgeons,detail,"4,800",9.8%,0.034,(5),$116.70,"$242,740",3.7%
29-1023,Orthodontists,detail,"5,080",8.5%,0.036,(5),$110.28,"$229,380",3.7%
29-1024,Prosthodontists,detail,430,29.5%,0.003,$89.02,$94.69,"$196,960",13.3%
29-1029,"Dentists, All Other Specialists",detail,"4,590",10.4%,0.032,$91.75,$96.15,"$199,980",4.1%
29-1031,Dietitians and Nutritionists,detail,"62,980",1.2%,0.442,$28.56,$28.92,"$60,150",0.4%
29-1041,Optometrists,detail,"37,240",2.4%,0.261,$53.03,$57.26,"$119,100",1.2%
29-1051,Pharmacists,detail,"309,330",0.9%,2.170,$59.70,$58.52,"$121,710",0.3%
29-1060,Physicians and Surgeons,broad,"666,490",1.2%,4.675,(5),$103.22,"$214,700",0.6%
29-1061,Anesthesiologists,detail,"30,590",5.3%,0.215,(5),$127.88,"$265,990",1.6%
29-1062,Family and General Practitioners,detail,"126,440",2.0%,0.887,$95.55,$100.27,"$208,560",1.0%
29-1063,"Internists, General",detail,"42,280",3.5%,0.297,$92.75,$95.37,"$198,370",2.5%
29-1064,Obstetricians and Gynecologists,detail,"18,880",4.0%,0.132,(5),$113.10,"$235,240",1.4%
29-1065,"Pediatricians, General",detail,"28,990",5.1%,0.203,$83.00,$90.16,"$187,540",1.4%
29-1066,Psychiatrists,detail,"25,250",3.3%,0.177,(5),$103.89,"$216,090",1.6%
29-1067,Surgeons,detail,"38,600",3.3%,0.271,(5),$121.10,"$251,890",1.3%
29-1069,"Physicians and Surgeons, All Other",detail,"355,460",1.6%,2.494,(5),$101.63,"$211,390",0.8%
29-1071,Physician Assistants,detail,"109,220",1.4%,0.766,$50.41,$50.37,"$104,760",0.4%
29-1081,Podiatrists,detail,"9,670",3.2%,0.068,$61.41,$71.38,"$148,470",2.2%
29-1120,Therapists,broad,"676,140",0.7%,4.743,$36.79,$37.86,"$78,740",0.2%
29-1122,Occupational Therapists,detail,"126,050",1.2%,0.884,$40.00,$40.69,"$84,640",0.4%
29-1123,Physical Therapists,detail,"225,420",1.1%,1.581,$41.76,$42.34,"$88,080",0.3%
29-1124,Radiation Therapists,detail,"17,250",2.9%,0.121,$38.73,$40.96,"$85,190",0.6%
29-1125,Recreational Therapists,detail,"18,490",2.6%,0.130,$22.92,$23.88,"$49,670",0.7%
29-1126,Respiratory Therapists,detail,"128,250",1.2%,0.900,$28.71,$29.72,"$61,810",0.3%
29-1127,Speech-Language Pathologists,detail,"142,360",1.2%,0.999,$36.83,$38.35,"$79,770",0.5%
29-1128,Exercise Physiologists,detail,"6,300",3.5%,0.044,$23.60,$26.31,"$54,730",2.0%
29-1129,"Therapists, All Other",detail,"12,020",5.6%,0.084,$25.89,$28.02,"$58,290",1.8%
29-1131,Veterinarians,detail,"69,370",1.5%,0.487,$43.47,$48.81,"$101,530",1.1%
29-1141,Registered Nurses,detail,"2,906,840",0.5%,20.392,$33.65,$35.36,"$73,550",0.2%
29-1151,Nurse Anesthetists,detail,"42,620",3.5%,0.299,$79.38,$81.47,"$169,450",0.9%
29-1161,Nurse Midwives,detail,"6,530",5.2%,0.046,$48.36,$49.83,"$103,640",1.3%
29-1171,Nurse Practitioners,detail,"166,280",1.3%,1.166,$49.94,$51.68,"$107,480",0.4%
29-1181,Audiologists,detail,"12,020",4.5%,0.084,$36.50,$38.48,"$80,040",1.5%
29-1199,"Health Diagnosing and Treating Practitioners, All Other",detail,"35,970",2.3%,0.252,$35.49,$40.49,"$84,210",1.4%
29-2000,Health Technologists and Technicians,minor,"3,075,910",0.4%,21.578,$20.95,$22.74,"$47,310",0.2%
29-2010,Clinical Laboratory Technologists and Technicians,broad,"322,380",1.2%,2.262,$24.89,$25.59,"$53,230",0.3%
29-2021,Dental Hygienists,detail,"211,600",1.2%,1.484,$35.61,$35.91,"$74,680",0.5%
29-2030,Diagnostic Related Technologists and Technicians,broad,"382,500",0.7%,2.683,$29.98,$30.79,"$64,040",0.3%
29-2031,Cardiovascular Technologists and Technicians,detail,"56,130",1.4%,0.394,$26.57,$27.52,"$57,250",0.6%
29-2032,Diagnostic Medical Sonographers,detail,"68,750",1.2%,0.482,$34.33,$35.19,"$73,200",0.5%
29-2033,Nuclear Medicine Technologists,detail,"18,930",1.4%,0.133,$36.38,$37.33,"$77,660",0.4%
29-2034,Radiologic Technologists,detail,"201,200",0.8%,1.411,$28.10,$29.00,"$60,320",0.3%
29-2035,Magnetic Resonance Imaging Technologists,detail,"37,490",2.0%,0.263,$33.62,$33.89,"$70,490",0.4%
29-2041,Emergency Medical Technicians and Paramedics,detail,"251,860",1.2%,1.767,$16.05,$17.64,"$36,700",0.7%
29-2050,Health Practitioner Support Technologists and Technicians,broad,"785,590",0.6%,5.511,$16.28,$17.27,"$35,910",0.2%
29-2051,Dietetic Technicians,detail,"33,370",3.0%,0.234,$12.74,$14.24,"$29,610",0.7%
29-2052,Pharmacy Technicians,detail,"417,720",0.8%,2.930,$15.26,$15.90,"$33,060",0.3%
29-2053,Psychiatric Technicians,detail,"66,930",1.5%,0.470,$15.23,$17.34,"$36,070",1.2%
29-2054,Respiratory Therapy Technicians,detail,"9,600",3.6%,0.067,$24.21,$24.47,"$50,900",1.0%
29-2055,Surgical Technologists,detail,"106,470",1.1%,0.747,$22.26,$23.11,"$48,060",0.3%
29-2056,Veterinary Technologists and Technicians,detail,"103,430",1.9%,0.726,$16.06,$16.69,"$34,710",0.6%
29-2057,Ophthalmic Medical Technicians,detail,"48,060",3.0%,0.337,$17.27,$18.03,"$37,500",0.6%
29-2061,Licensed Practical and Licensed Vocational Nurses,detail,"702,700",0.7%,4.930,$21.65,$21.98,"$45,710",0.2%
29-2071,Medical Records and Health Information Technicians,detail,"204,220",1.0%,1.433,$18.83,$20.59,"$42,820",0.4%
29-2081,"Opticians, Dispensing",detail,"75,450",2.1%,0.529,$17.43,$18.79,"$39,070",1.0%
29-2090,Miscellaneous Health Technologists and Technicians,broad,"139,620",1.5%,0.979,$20.88,$23.36,"$48,600",0.6%
29-2091,Orthotists and Prosthetists,detail,"7,840",4.7%,0.055,$31.85,$34.12,"$70,970",2.1%
29-2092,Hearing Aid Specialists,detail,"7,380",6.6%,0.052,$26.38,$27.42,"$57,030",1.8%
29-2099,"Health Technologists and Technicians, All Other",detail,"124,390",1.6%,0.873,$20.10,$22.45,"$46,690",0.6%
29-9000,Other Healthcare Practitioners and Technical Occupations,minor,"161,190",0.8%,1.131,$29.19,$31.19,"$64,870",0.3%
29-9010,Occupational Health and Safety Specialists and Technicians,broad,"98,830",0.9%,0.693,$32.56,$33.71,"$70,120",0.3%
29-9011,Occupational Health and Safety Specialists,detail,"81,330",0.9%,0.571,$34.51,$35.38,"$73,600",0.3%
29-9012,Occupational Health and Safety Technicians,detail,"17,490",2.1%,0.123,$24.02,$25.93,"$53,930",0.7%
29-9090,Miscellaneous Health Practitioners and Technical Workers,broad,"62,360",1.6%,0.437,$23.72,$27.19,"$56,550",0.9%
29-9091,Athletic Trainers,detail,"25,010",2.5%,0.175,(4),(4),"$48,630",0.7%
29-9092,Genetic Counselors,detail,"2,660",7.8%,0.019,$37.25,$37.56,"$78,130",1.5%
29-9099,"Healthcare Practitioners and Technical Workers, All Other",detail,"34,700",2.1%,0.243,$24.77,$29.13,"$60,600",1.3%
31-0000,Healthcare Support Occupations,major,"4,113,410",0.4%,28.856,$13.80,$15.05,"$31,310",0.2%
31-1010,"Nursing, Psychiatric, and Home Health Aides",broad,"2,393,040",0.5%,16.787,$12.31,$13.03,"$27,110",0.3%
31-1011,Home Health Aides,detail,"820,960",1.4%,5.759,$11.16,$11.67,"$24,280",0.4%
31-1013,Psychiatric Aides,detail,"65,770",2.0%,0.461,$13.04,$14.10,"$29,330",0.9%
31-1014,Nursing Assistants,detail,"1,453,670",0.5%,10.198,$13.23,$13.72,"$28,540",0.2%
31-1015,Orderlies,detail,"52,630",2.3%,0.369,$13.07,$13.94,"$28,990",0.6%
31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,minor,"188,850",1.2%,1.325,$24.28,$23.70,"$49,300",0.5%
31-2010,Occupational Therapy Assistants and Aides,broad,"49,390",2.3%,0.346,$27.25,$26.66,"$55,450",0.9%
31-2011,Occupational Therapy Assistants,detail,"41,650",2.3%,0.292,$28.51,$28.59,"$59,470",0.6%
31-2012,Occupational Therapy Aides,detail,"7,740",7.4%,0.054,$14.04,$16.24,"$33,780",3.1%
31-2020,Physical Therapist Assistants and Aides,broad,"139,460",1.3%,0.978,$22.56,$22.65,"$47,120",0.6%
31-2021,Physical Therapist Assistants,detail,"90,170",1.4%,0.633,$27.61,$27.70,"$57,620",0.4%
31-2022,Physical Therapist Aides,detail,"49,290",2.4%,0.346,$12.37,$13.42,"$27,910",0.8%
31-9000,Other Healthcare Support Occupations,minor,"1,531,520",0.5%,10.744,$16.31,$17.14,"$35,650",0.2%
31-9011,Massage Therapists,detail,"103,300",2.7%,0.725,$19.23,$21.61,"$44,950",1.2%
31-9090,Miscellaneous Healthcare Support Occupations,broad,"1,428,220",0.5%,10.019,$16.18,$16.82,"$34,980",0.2%
31-9091,Dental Assistants,detail,"337,160",0.9%,2.365,$18.09,$18.60,"$38,690",0.4%
31-9092,Medical Assistants,detail,"646,320",0.7%,4.534,$15.61,$16.15,"$33,580",0.2%
31-9093,Medical Equipment Preparers,detail,"53,920",1.5%,0.378,$17.00,$17.82,"$37,060",0.4%
31-9094,Medical Transcriptionists,detail,"55,880",2.9%,0.392,$16.95,$17.50,"$36,400",1.2%
31-9095,Pharmacy Aides,detail,"35,960",4.1%,0.252,$12.56,$13.96,"$29,030",1.2%
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detail,"84,400",2.7%,0.592,$12.57,$13.26,"$27,570",0.6%
31-9097,Phlebotomists,detail,"122,550",1.4%,0.860,$16.19,$16.69,"$34,710",0.3%
31-9099,"Healthcare Support Workers, All Other",detail,"92,030",1.8%,0.646,$17.89,$18.56,"$38,600",0.9%
33-0000,Protective Service Occupations,major,"3,408,680",0.4%,23.912,$19.01,$22.69,"$47,190",0.6%
33-1000,Supervisors of Protective Service Workers,minor,"280,260",0.5%,1.966,$33.38,$35.97,"$74,810",0.7%
33-1010,First-Line Supervisors of Law Enforcement Workers,broad,"147,140",0.4%,1.032,$38.52,$40.62,"$84,490",0.6%
33-1011,First-Line Supervisors of Correctional Officers,detail,"42,280",0.5%,0.297,$30.05,$32.15,"$66,880",0.7%
33-1012,First-Line Supervisors of Police and Detectives,detail,"104,860",0.4%,0.736,$42.26,$44.03,"$91,590",0.6%
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,detail,"58,690",0.9%,0.412,$36.62,$38.19,"$79,430",0.8%
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",detail,"74,430",1.3%,0.522,$23.77,$25.02,"$52,040",0.8%
33-2000,Fire Fighting and Prevention Workers,minor,"333,760",0.7%,2.341,$23.76,$25.13,"$52,260",0.7%
33-2011,Firefighters,detail,"319,860",0.7%,2.244,$23.60,$24.97,"$51,930",0.8%
33-2020,Fire Inspectors,broad,"13,900",2.2%,0.098,$27.25,$28.83,"$59,960",0.9%
